SceneName	Object	Interaction	Flags	Dialogue
Ateneo Seal	-	Autorun	-	@playsound SystemStart
				@fade 1 1 1 1 0
				@fade 0 0 0 0 0.5
			!AutoAria	@status Look for Agent Aria.
				@playmusic BGM1
			AutoAria Progress==0	@status Look for the energy orb and Pick it Up.
				@playmusic BGM1
			Progress==1	@status Select either the Anomaly Gun or the Immortal Key, then Show it to Agent Aria.
				@playmusic BGM1
			Progress==2	@status Select the Immortal Key, then Use it on the barrier stone.
				@playmusic BGM4
			Progress>=3	@status Select the Anomaly Gun, then Fire it at the danag.
				@playmusic BGM4
			!Start	*** Connection established. Interference: 0.03%. Latency: 15ms. ***
				*** Orders received. {Make contact with Agent Aria.} ***
				@settrue Start
				@setfalse M1%Inventory%Anomaly_Gun
				@setfalse M1%Inventory%Immortal_Key
				@select
	Agent_Aria	Auto	!AutoAria	@animate Agent_Aria Yes
				Aria#Well done. I hope your trip here was not too difficult?
				@animate Agent_Aria Talk
				Aria#As you can see, visiting another location will require you to physically travel there and focus on a specific marker with your Spirit Gear.
				@animate Agent_Aria Talk
				Aria#However, you can only travel to these locations if your duties require that you be present there.
				@animate Agent_Aria Talk
				Aria#Thankfully, your Spirit Gear's map screen will only display these relevant locations and will filter out everything else.
				@animate Agent_Aria Yes
				Aria#Assuming no spiritual interference, that is.
				@animate Agent_Aria Talk
				Aria#Now, our primary duty as members of M.A.G.I.S. is to ensure that none of the paranormal entities here make their way to your world.
				@animate Agent_Aria Talk
				Aria#This is the reason we investigate events that seem out of place.
				@animate Agent_Aria Talk
				Aria#If anything or anyone here starts acting up, it could be because of energy spilling into this world from yours.
				@animate Agent_Aria Talk
				Aria#It's a dangerous job, which is why you need to be prepared. We need to recharge your Spirit Gear so you can use its additional functions.
				@show Energy_Orb
				@animate Agent_Aria Talk
				Aria#Think fast, recruit. I've asked one of our alchemists to deploy an energy orb near you.
				@animate Agent_Aria Talk
				Aria#You remember how to {Pick Up} objects with your Spirit Gear, right? Get to it.
				@settrue AutoAria
		Examine	-	M.A.G.I.S. Agent, codename: Aria.
				Professor in the Department of M.A.G.I.S. and head of the Arcane Laboratory of Lost Secrets.
		Talk_to	Progress==0	@animate Agent_Aria Talk
				Aria#Did you {Pick Up} the energy orb yet?
			Progress==1	@animate Agent_Aria Talk
				Aria#Open your {Inventory}, then {Select} either the Anomaly Gun or the Immortal Key, then {Show} it to me.
			Progress==2	@animate Agent_Aria Talk
				Aria#To banish the danag, first {Use} your {Immortal Key} on the barrier stone. This will disable the barrier that is restraining the creature.
				@animate Agent_Aria Talk
				Aria#Once the barrier is down, you can {Fire} your {Anomaly Gun} at the danag. You might have to do this more than once.
			Progress==3	@animate Agent_Aria Talk
				Aria#The barrier is down! Quickly, {Fire} your {Anomaly Gun} at the danag!
				@animate Agent_Aria Talk
				Aria#I must warn you that it might take more than one shot to banish the creature.
				@animate Agent_Aria Talk
				Aria#But don't worry. Even if the danag attacks you, only your projected presence in this world will take damage.
			Progress==4	@animate Agent_Aria No
				Aria#Why do monsters always have to be this stubborn?
				@animate Agent_Aria Talk
				Aria#{Fire} your {Anomaly Gun} at the danag again! One more shot should do it.
		Show_[Anomaly_Gun]#	Progress==1	@stopmusic
				@animate Agent_Aria Talk
				Aria#Good, you're now ready for your first mi---
				@show Danag
				Agent Aria is interrupted by a strange, high-pitched sound, followed by an ominous wail.
				@playmusic BGM4
				@fade 1 0 0 1 1
				@fade 0 0 0 0 1
				*** WARNING: HOSTILE DETECTED. ***
				@animate Agent_Aria Talk
				Aria#Hm, the barrier stone trapped something just now. How convenient.
				@animate Agent_Aria Talk
				Aria#Listen up! Your first task as an exchange student in the M.A.G.I.S. department is to banish the creature trapped by the barrier stone.
				@animate Agent_Aria Yes
				Aria#Let's see... Looks like a danag.
				@animate Agent_Aria Talk
				Aria#To banish the danag, first {Select} your {Immortal Key} then {Use} it on the barrier stone. This will dispel the barrier.
				@animate Agent_Aria Talk
				Aria#Once the barrier is down, you can {Fire} your {Anomaly Gun} at the danag. You might have to do this more than once.
				@select
				@set Progress 2
			Progress>1	@animate Agent_Aria Talk
				Aria#What is it? Is there something wrong with your Anomaly Gun?
		Show_[Immortal_Key]#	Progress==1	@stopmusic
				@animate Agent_Aria Talk
				Aria#Good, you're now ready for your first mi---
				@show Danag
				Agent Aria is interrupted by a strange, high-pitched sound, followed by an ominous wail.
				@playmusic BGM4
				@fade 1 0 0 1 1
				@fade 0 0 0 0 1
				*** WARNING: HOSTILE DETECTED. ***
				@animate Agent_Aria Talk
				Aria#Hm, the barrier stone trapped something just now. How convenient.
				@animate Agent_Aria Talk
				Aria#Listen up! Your first task as an exchange student in the M.A.G.I.S. department is to banish the creature trapped by the barrier stone.
				@animate Agent_Aria Yes
				Aria#Let's see... Looks like a danag.
				@animate Agent_Aria Talk
				Aria#To banish the danag, first {Use} your {Immortal Key} on the barrier stone. This will dispel the barrier.
				@animate Agent_Aria Talk
				Aria#Once the barrier is down, you can {Fire} your {Anomaly Gun} at the danag. You might have to do this more than once.
				@set Progress 2
			Progress>1	@animate Agent_Aria Talk
				Aria#What is it? Is there something wrong with your Immortal Key?
	Barrier_Stone	Auto	!AutoStone	You see a relatively large piece of rock with a device attached to it.
				@settrue AutoStone
		Examine	-	Barrier stones such as this one are employed by the Department of M.A.G.I.S. as proximity-triggered traps.
				Unwitting paranormal entities that wander too close will find themselves imprisoned inside a mystical force field.
				Be advised that the force field's area of effect cannot cover the barrier stone itself.
				WARNING: Some creatures are powerful enough to break through the force field on their own. Exercise caution when approaching a trapped target.
		Touch	Progress<2	*** Barrier stone status: ARMED ***
			Progress==2	*** Barrier stone status: ACTIVE ***
